"product_category","total_orders","delay_rate_percent"
audio,362,12.71
fashion_underwear_e_moda_praia,127,12.60
artigos_de_natal,150,12.00
livros_tecnicos,263,11.03
casa_conforto,429,10.26
construcao_ferramentas_iluminacao,301,9.97
alimentos,499,9.82
eletronicos,2729,9.75
"",1537,9.37
beleza_saude,9465,9.05
moveis_escritorio,1668,8.93
bebes,2982,8.79
instrumentos_musicais,651,8.60
moveis_decoracao,8160,8.43
cama_mesa_banho,10953,8.40
telefonia,4430,8.33
automotivo,4139,8.29
relogios_presentes,5857,8.28
casa_construcao,596,8.22
construcao_ferramentas_construcao,916,8.08
papelaria,2466,8.03
ferramentas_jardim,4268,7.97
moveis_sala,495,7.88
consoles_games,1089,7.81
informatica_acessorios,7643,7.77
moveis_quarto,103,7.77
artes,197,7.61
industria_comercio_e_negocios,264,7.58
brinquedos,4029,7.42
esporte_lazer,8430,7.41
perfumaria,3340,7.34
construcao_ferramentas_jardim,232,7.33
eletrodomesticos_2,231,6.93
eletrodomesticos,754,6.76
cool_stuff,3718,6.75
pcs,199,6.53
livros_interesse_geral,536,6.53
utilidades_domesticas,6795,6.49
alimentos_bebidas,269,6.32
fashion_bolsas_e_acessorios,1985,6.25
pet_shop,1924,6.13
eletroportateis,658,5.93
fashion_calcados,257,5.84
construcao_ferramentas_ferramentas,103,5.83
fashion_roupa_masculina,125,5.60
sinalizacao_e_seguranca,197,5.58
bebidas,361,5.54
construcao_ferramentas_seguranca,183,5.46
malas_acessorios,1077,5.39
moveis_cozinha_area_de_servico_jantar_e_jardim,274,4.38
agro_industria_e_comercio,206,4.37
telefonia_fixa,255,4.31
market_place,305,4.26
climatizacao,289,3.81
